Pavlis, N.K., S.A. Holmes, S.C. Kenyon, and J.K. Factor:
An Earth Gravitational Model to Degree 2160: EGM2008,
presented at the 2008 General Assembly of the European Geosciences Union,
Vienna, Austria, April 13-18, 2008.


product_type                gravity_field
modelname                   EGM2008
earth_gravity_constant      0.3986004415E+15
radius                      0.63781363E+07
max_degree                  2190
errors                      calibrated
norm                        fully_normalized
tide_system                 tide_free

url                   http://earth-info.nima.mil/GandG/

 
 
key     L    M             C                       S                    sigma C             sigma S
gfc    15   11   -0.130462854422872D-08    0.185210748548004D-07    0.3205799242D-11    0.3206002067D-11
gfc    15   12   -0.324147324255678D-07    0.156080393130757D-07    0.3460196603D-11    0.3457420551D-11
gfc    15   13   -0.283649640930711D-07   -0.457549001836693D-08    0.4872107425D-11    0.4861902288D-11
gfc    15   14    0.519862755176957D-08   -0.243950380180467D-07    0.5753839406D-11    0.5759303926D-11
gfc    15   15   -0.190443752608698D-07   -0.469941074395975D-08    0.5439142055D-11    0.5433997716D-11
gfc    16    0   -0.471037252266068D-08    0.000000000000000D+00    0.5219980765D-12    0.0000000000D+00
gfc    16    1    0.261852447892310D-07    0.333423726704204D-07    0.5041106842D-12    0.5503814197D-12
gfc    16    2   -0.245117847209327D-07    0.280314862616323D-07    0.5662912395D-12    0.5294472672D-12
gfc    16    3   -0.339147390918482D-07   -0.213401079775597D-07    0.6030740033D-12    0.5995013343D-12
gfc    16    4    0.408540187833972D-07    0.479877498751224D-07    0.7736332027D-12    0.7621449523D-12
gfc    16    5   -0.121209356470009D-07   -0.344283772175451D-08    0.9361035558D-12    0.9376354285D-12
gfc    16    6    0.138747261713477D-07   -0.355969015666675D-07    0.1226186919D-11    0.1218796528D-11
gfc    16    7   -0.806188863620981D-08   -0.865178660695190D-08    0.1493861321D-11    0.1494785459D-11
gfc    16    8   -0.212044215093991D-07    0.540717302974902D-08    0.1775087299D-11    0.1772601913D-11
gfc    16    9   -0.224151915247857D-07   -0.396686472741101D-07    0.2122396611D-11    0.2119986694D-11
gfc    16   10   -0.118064629182132D-07    0.115374382529194D-07    0.2378013892D-11    0.2379991003D-11
gfc    16   11    0.191118463013820D-07   -0.320054944714364D-08    0.2891196511D-11    0.2893168096D-11
gfc    16   12    0.195631858722835D-07    0.672539764312181D-08    0.3369754007D-11    0.3367861653D-11
gfc    16   13    0.137744095920323D-07    0.104745467774466D-08    0.3586537296D-11    0.3578348754D-11
gfc    16   14   -0.193451561175034D-07   -0.386522367774771D-07    0.5032851845D-11    0.5044909492D-11
gfc    16   15   -0.144196100302905D-07   -0.327760669358925D-07    0.6040432698D-11    0.6040495371D-11
gfc    16   16   -0.382992884797529D-07    0.295860714710389D-08    0.5081784014D-11    0.5085556534D-11
gfc    17    0    0.191875988417387D-07    0.000000000000000D+00    0.5004341209D-12    0.0000000000D+00
gfc    17    1   -0.253645204657949D-07   -0.317042482135934D-07    0.4821005753D-12    0.5271238284D-12
gfc    17    2   -0.201017447758198D-07    0.681376058343928D-08    0.5401623189D-12    0.5046752252D-12
gfc    17    3    0.630839562027722D-08    0.508308654394536D-08    0.5692863181D-12    0.5660781496D-12
gfc    17    4    0.647515778433184D-08    0.253354668311939D-07    0.7190495531D-12    0.7084658350D-12
gfc    17    5   -0.162193992995631D-07    0.803001732911605D-08    0.8579626357D-12    0.8595901576D-12
gfc    17    6   -0.117320425248787D-07   -0.294401279670302D-07    0.1135698736D-11    0.1129050893D-11
gfc    17    7    0.249764681793243D-07   -0.438554429095768D-08    0.1358464974D-11    0.1359384602D-11
gfc    17    8    0.390006528364112D-07    0.363439990543582D-08    0.1683861900D-11    0.1681525027D-11
gfc    17    9    0.347901841118582D-08   -0.276427048005195D-07    0.1897744112D-11    0.1895518538D-11
gfc    17   10   -0.379589397747057D-08    0.183778246503248D-07    0.2291849011D-11    0.2292592646D-11
gfc    17   11   -0.160174948249694D-07    0.110870581174922D-07    0.2548133131D-11    0.2549067942D-11
gfc    17   12    0.287221517856901D-07    0.204582230384783D-07    0.3043376539D-11    0.3040421017D-11
gfc    17   13    0.165063239919241D-07    0.201356543378344D-07    0.3583232250D-11    0.3578475155D-11
gfc    17   14   -0.142747771121823D-07    0.115742828658331D-07    0.3714889514D-11    0.3725985745D-11
gfc    17   15    0.553783372805876D-08    0.524340656496201D-08    0.5435602324D-11    0.5428158116D-11
gfc    17   16   -0.303992561155655D-07    0.360274437895663D-08    0.6285631966D-11    0.6293766680D-11
gfc    17   17   -0.346971352906772D-07   -0.198743584916705D-07    0.5269596198D-11    0.5270318204D-11
gfc    18    0    0.609862871807421D-08    0.000000000000000D+00    0.4832690267D-12    0.0000000000D+00
gfc    18    1    0.720152312518112D-08   -0.392970098282429D-07    0.4652946932D-12    0.5092910307D-12
gfc    18    2    0.147251428316923D-07    0.108333873087810D-07    0.5195251576D-12    0.4849484952D-12
gfc    18    3   -0.504457513185901D-08   -0.584923266822307D-08    0.5432414479D-12    0.5402665471D-12
gfc    18    4    0.546253493560536D-07   -0.786748537792632D-09    0.6728923295D-12    0.6629148532D-12
gfc    18    5    0.597651128344404D-08    0.261398616579252D-07    0.8006902916D-12    0.8024327959D-12
gfc    18    6    0.135775785802306D-07   -0.132446105152748D-07    0.1044970130D-11    0.1038619314D-11
gfc    18    7    0.679347259309753D-08    0.746790172709486D-08    0.1276489517D-11    0.1277231585D-11
gfc    18    8    0.304992690074792D-07    0.434439798188153D-08    0.1543291298D-11    0.1541061482D-11
gfc    18    9   -0.195696822181729D-07    0.361306774690565D-07    0.1822568725D-11    0.1820270958D-11
gfc    18   10    0.521528994919861D-08   -0.424068379064049D-08    0.2057527255D-11    0.2058785601D-11
gfc    18   11   -0.688640849277642D-08    0.211925103597343D-08    0.2477764803D-11    0.2478892841D-11
gfc    18   12   -0.297489841938418D-07   -0.165609165083241D-07    0.2698986668D-11    0.2697258575D-11
gfc    18   13   -0.625379710747338D-08   -0.349391913136191D-07    0.3235030062D-11    0.3230134070D-11
gfc    18   14   -0.829497209425585D-08   -0.128330547008713D-07    0.3777974539D-11    0.3782509910D-11
gfc    18   15   -0.404690219510979D-07   -0.202806589920597D-07    0.3909157356D-11    0.3904157413D-11
gfc    18   16    0.101653114622966D-07    0.650425930141024D-08    0.5466808717D-11    0.5476695395D-11
gfc    18   17    0.348327556578355D-08    0.437638847248534D-08    0.6588735035D-11    0.6577800134D-11
gfc    18   18    0.299062325911737D-08   -0.108590059665012D-07    0.5496945201D-11    0.5492233625D-11
gfc    19    0   -0.330313643444747D-08    0.000000000000000D+00    0.4705932880D-12    0.0000000000D+00
gfc    19    1   -0.897158188216359D-08    0.119351790338528D-08    0.4523096362D-12    0.4955107223D-12
gfc    19    2    0.357388371471962D-07   -0.237015979063608D-08    0.5041797140D-12    0.4703196442D-12
gfc    19    3   -0.756032556254074D-08    0.110290369074984D-08    0.5228404586D-12    0.5201446131D-12
gfc    19    4    0.158085379630551D-07   -0.814278758437249D-08    0.6389021593D-12    0.6293074440D-12
gfc    19    5    0.103889228527421D-07    0.274505357043879D-07    0.7494062013D-12    0.7512487754D-12
gfc    19    6   -0.479964549701996D-08    0.187563790081893D-07    0.9818737791D-12    0.9759964933D-12
gfc    19    7    0.564134377468315D-08   -0.874192018355915D-08    0.1186737546D-11    0.1187496245D-11
gfc    19    8    0.298891166523339D-07   -0.999215899666339D-08    0.1469137519D-11    0.1466925576D-11
gfc    19    9    0.328811224665918D-08    0.723785481495213D-08    0.1684703892D-11    0.1682559102D-11
gfc    19   10   -0.338785599522056D-07   -0.757904101437065D-08    0.2000512629D-11    0.2000660689D-11
gfc    19   11    0.163045986043663D-07    0.103569678194585D-07    0.2223157250D-11    0.2223885130D-11
gfc    19   12   -0.243982295344659D-08    0.945624397342968D-08    0.2652058577D-11    0.2650322835D-11
gfc    19   13   -0.754129981811845D-08   -0.285237528001317D-07    0.2891336010D-11    0.2887966919D-11
gfc    19   14   -0.474367454667135D-08   -0.128504936248119D-07    0.3427925668D-11    0.3433393340D-11
gfc    19   15   -0.175897089065384D-07   -0.140715825139566D-07    0.4160343375D-11    0.4157559988D-11
