Starting processing for station: 'ACOR'.
Processing finished for station: 'ACOR'.
Starting processing for station: 'MADR'.
Processing finished for station: 'MADR'.
Starting processing for station: 'SCOA'.
Processing finished for station: 'SCOA'.
Starting processing for station: 'SFER'.
Processing finished for station: 'SFER'.
Starting processing for station: 'TLSE'.
Processing finished for station: 'TLSE'.
6270.00000 0.01930 -0.04979 0.02924 2.21389
6300.00000 0.02507 -0.05239 0.02402 2.21358
6330.00000 0.02565 -0.04909 0.01820 2.21373
6360.00000 0.02473 -0.04801 0.01578 2.21399
6390.00000 0.01959 -0.04932 0.01995 2.21387
6420.00000 0.01197 -0.04705 0.02106 2.21416
6450.00000 0.01564 -0.04914 0.01276 2.21493
6480.00000 0.01414 -0.04947 0.02030 2.21457
6510.00000 0.01258 -0.05225 0.02795 2.21438
6540.00000 0.01776 -0.04736 0.03087 2.21411
6570.00000 0.01502 -0.04982 0.03432 2.21396
6600.00000 0.01388 -0.05019 0.02626 2.21400
6630.00000 0.00849 -0.04778 0.03682 2.21407
6660.00000 0.02131 -0.04552 0.03876 2.21483
6690.00000 0.02078 -0.04893 0.02986 2.21450
6720.00000 0.02781 -0.04465 0.03256 2.21443
6750.00000 0.02086 -0.03912 0.02670 2.21431
6780.00000 0.02362 -0.03154 0.03923 2.21390
6810.00000 0.02601 -0.04204 0.01432 2.21422
6840.00000 0.02971 -0.03441 0.01268 2.21415
6870.00000 0.01897 -0.03689 0.01833 2.21467
6900.00000 0.02674 -0.03868 0.00375 2.21529
6930.00000 0.01944 -0.03254 0.00346 2.21498
6960.00000 0.01683 -0.03222 -0.00246 2.21480
6990.00000 0.01935 -0.02924 0.02086 2.21458
7020.00000 0.01698 -0.02660 0.01903 2.21356
7050.00000 0.01832 -0.02272 0.01239 2.21352
7080.00000 0.01163 -0.01903 0.01803 2.21343
7110.00000 0.01276 -0.02002 0.00259 2.21339
7140.00000 0.01141 -0.02167 0.00191 2.21351
7170.00000 0.01929 -0.01968 -0.00223 2.21356
7200.00000 0.01399 -0.01573 -0.00093 2.21316
7230.00000 0.01347 -0.01589 0.00170 2.21257
7260.00000 0.01101 -0.01534 0.01014 2.21196
7290.00000 0.00764 -0.01697 0.01255 2.21047
7320.00000 0.01748 -0.01350 0.01983 2.20965
7350.00000 0.01794 -0.00779 0.01683 2.20922
7380.00000 0.02284 -0.00907 0.01082 2.20812
7410.00000 0.01631 -0.00689 0.01414 2.20722
7440.00000 0.00526 -0.01428 0.01764 2.20602
7470.00000 0.01124 -0.01201 0.03170 2.20573
7500.00000 0.01399 -0.01214 0.03948 2.20497
7530.00000 0.01089 -0.01219 0.03525 2.20349
7560.00000 0.01292 -0.00643 0.02838 2.20222
7590.00000 0.01386 -0.00326 0.03260 2.20072
7620.00000 0.01354 -0.01463 0.03409 2.20038
7650.00000 0.00678 -0.01021 0.03170 2.19986
7680.00000 0.00691 -0.01309 0.03811 2.19951
7710.00000 0.00476 -0.01700 0.04858 2.19985
7740.00000 0.00784 -0.01311 0.04103 2.19979
7770.00000 -0.00301 -0.01271 0.04801 2.19892
7800.00000 0.00860 -0.01409 0.05555 2.19878
7830.00000 0.00916 -0.01005 0.04911 2.19834
7860.00000 0.01214 -0.01323 0.05061 2.19767
7890.00000 0.00992 -0.01864 0.04574 2.19754
7920.00000 0.01130 -0.02292 0.02978 2.19656
7950.00000 0.01045 -0.01930 0.04220 2.19687
7980.00000 0.02263 -0.01844 0.03483 2.19708
8010.00000 0.01825 -0.01976 0.03811 2.19756
8040.00000 0.01156 -0.02403 0.04368 2.19672
8070.00000 0.01242 -0.02639 0.05171 2.19661
8100.00000 0.01243 -0.02737 0.05440 2.19594
8130.00000 0.00846 -0.02465 0.06019 2.19598
8160.00000 0.00622 -0.02693 0.06953 2.19544
8190.00000 0.00420 -0.02427 0.06758 2.19478
8220.00000 0.00428 -0.02445 0.07437 2.19453
8250.00000 0.00440 -0.02758 0.05739 2.19359
8280.00000 0.01340 -0.02633 0.06272 2.19503
8310.00000 0.01175 -0.02532 0.06139 2.19571
8340.00000 0.01732 -0.02612 0.05915 2.19706
8370.00000 0.01055 -0.02841 0.04682 2.19732
8400.00000 0.00658 -0.03098 0.04577 2.19802
8430.00000 0.00548 -0.02954 0.04761 2.19821
8460.00000 0.00852 -0.02936 0.03118 2.19841
8490.00000 0.01602 -0.02428 0.04930 2.19929
8520.00000 0.01148 -0.02883 0.05129 2.19929
8550.00000 0.01552 -0.03041 0.04914 2.19931
8580.00000 0.01350 -0.03269 0.05278 2.19978
8610.00000 0.01943 -0.02235 0.04749 2.19967
8640.00000 0.01299 -0.02684 0.03823 2.19987
8670.00000 0.02263 -0.01985 0.04231 2.20075
8700.00000 0.01307 -0.02174 0.03302 2.20106
8730.00000 0.01295 -0.02132 0.02461 2.20083
8760.00000 0.01341 -0.02124 0.01938 2.19994
8790.00000 0.01050 -0.02123 0.01564 2.19849
8820.00000 0.01569 -0.01575 0.02396 2.19862
8850.00000 0.01524 -0.01842 0.01326 2.19821
8880.00000 0.01748 -0.01322 0.00386 2.19748
8910.00000 0.00929 -0.01966 0.00501 2.19656
8940.00000 0.01359 -0.01778 -0.00267 2.19544
8970.00000 0.01323 -0.01132 0.00626 2.19395
9000.00000 0.01415 -0.00601 0.00481 2.19345
9030.00000 0.01476 -0.00850 0.01451 2.19276
9060.00000 0.01675 -0.00951 0.02623 2.19291
9090.00000 0.01883 -0.00795 0.01499 2.19365
9120.00000 0.00911 -0.01288 0.00268 2.19328
9150.00000 0.00811 -0.00597 0.00058 2.19287
9180.00000 0.00675 -0.00492 -0.01452 2.19239
9210.00000 0.00563 -0.00638 -0.00964 2.19084
9240.00000 0.00131 -0.00622 0.00482 2.18973
9270.00000 0.00942 0.00070 -0.00003 2.18984
9300.00000 0.00507 -0.00605 0.01991 2.19126
9330.00000 0.01394 0.00366 -0.00132 2.19124
9360.00000 0.00599 -0.00078 0.00161 2.19056
9390.00000 0.01192 0.00322 -0.00770 2.18992
9420.00000 0.01645 0.01600 0.00330 2.19019
9450.00000 0.01280 0.01212 -0.00165 2.19108
9480.00000 0.00599 0.00995 0.01672 2.19264
9510.00000 0.00968 0.00719 0.01262 2.19251
9540.00000 0.00532 0.00674 0.00472 2.19149
9570.00000 0.00198 0.00710 0.00015 2.19031
9600.00000 -0.00021 0.00309 0.00843 2.19097
9630.00000 0.00061 0.00597 0.00851 2.19257
9660.00000 0.00396 0.01520 -0.00277 2.19269
9690.00000 -0.00047 0.00981 0.01921 2.19295
9720.00000 -0.00372 0.00074 0.02364 2.19313
9750.00000 0.00279 0.01060 0.03157 2.19288
9780.00000 0.00866 0.02011 0.01792 2.19333
9810.00000 0.00588 0.01321 0.02349 2.19616
9840.00000 -0.00111 0.00342 0.02356 2.19812
9870.00000 0.00344 0.01209 0.01685 2.20019
9900.00000 -0.00128 0.01764 0.00320 2.20076
9930.00000 0.00141 0.00843 0.00521 2.20076
9960.00000 -0.00486 0.00260 0.01360 2.20194
9990.00000 -0.00860 0.01053 0.00344 2.20298
10020.00000 -0.00593 0.00949 -0.00943 2.20337
10050.00000 -0.01156 0.00936 -0.01535 2.20274
10080.00000 -0.01328 0.00540 -0.00590 2.20236
10110.00000 -0.01253 0.00714 -0.01101 2.20230
10140.00000 -0.00775 0.01208 -0.01678 2.20287
10170.00000 -0.00701 0.00779 -0.00418 2.20446
10200.00000 0.00353 0.01367 -0.01693 2.20491
10230.00000 -0.00082 0.01164 -0.02223 2.20546
10260.00000 -0.00107 0.01021 -0.02196 2.20608
10290.00000 -0.00261 0.01283 -0.02656 2.20560
10320.00000 -0.00050 0.01313 -0.03539 2.20535
10350.00000 -0.00638 0.01070 -0.02895 2.20505
10380.00000 -0.00328 0.00888 -0.02974 2.20430
10410.00000 0.00271 -0.00057 -0.02768 2.20442
10440.00000 -0.00500 0.00841 -0.03280 2.20442
10470.00000 -0.00136 0.00620 -0.04222 2.20413
10500.00000 0.00467 0.01355 -0.03752 2.20329
10530.00000 0.00132 0.01283 -0.03500 2.20261
10560.00000 0.00004 0.01200 -0.02194 2.20276
10590.00000 -0.00024 0.01162 -0.02290 2.20305
10620.00000 -0.00834 0.01984 -0.02852 2.20426
10650.00000 -0.00050 0.01218 -0.01853 2.20490
10680.00000 0.00446 0.01574 -0.02000 2.20520
10710.00000 -0.00446 0.01495 -0.02108 2.20565
10740.00000 0.00920 0.01169 -0.03379 2.20619
10770.00000 0.00134 0.00856 -0.03504 2.20657
10800.00000 -0.00516 0.00975 -0.03875 2.20635
10830.00000 -0.00501 0.01347 -0.03168 2.20630
10860.00000 -0.00389 0.01197 -0.03213 2.20553
10890.00000 0.00015 0.01108 -0.03181 2.20600
10920.00000 -0.00214 -0.00302 -0.03349 2.20615
10950.00000 0.00765 0.00677 -0.02824 2.20755
10980.00000 -0.00579 0.00819 -0.03666 2.20736
11010.00000 -0.01769 0.01256 -0.03466 2.20817
11040.00000 -0.00148 0.00994 -0.04648 2.20744
11070.00000 -0.00965 0.00978 -0.03984 2.20754
11100.00000 0.00173 0.00703 -0.04216 2.20692
11130.00000 0.00075 0.00866 -0.04283 2.20636
11160.00000 -0.00776 0.00745 -0.03567 2.20504
11190.00000 -0.00431 0.00652 -0.02317 2.20578
11220.00000 -0.01010 0.00053 -0.01214 2.20583
11250.00000 -0.00453 0.00669 -0.02448 2.20595
11280.00000 -0.00352 0.00919 -0.02604 2.20584
11310.00000 -0.00575 0.00986 -0.02334 2.20694
11340.00000 -0.00470 0.01077 -0.03240 2.20795
11370.00000 -0.00503 0.00755 -0.02929 2.20899
11400.00000 -0.00259 0.00870 -0.02598 2.21004
11430.00000 -0.00152 0.01476 -0.05679 2.20931
11460.00000 0.00963 0.01296 -0.04702 2.20915
11490.00000 -0.00746 0.01652 -0.04935 2.20841
11520.00000 -0.00827 0.01938 -0.05647 2.20849
11550.00000 0.00749 0.02018 -0.05546 2.20779
11580.00000 0.00731 0.01790 -0.05400 2.20771
11610.00000 0.00191 0.01681 -0.05006 2.20782
11640.00000 0.00578 0.01870 -0.04314 2.20720
11670.00000 0.00246 0.01758 -0.04071 2.20597
11700.00000 0.00128 0.01554 -0.03067 2.20533
11730.00000 0.00177 0.00448 -0.02136 2.20312
11760.00000 0.00047 0.01174 -0.02541 2.20298
11790.00000 -0.00225 0.01286 -0.03626 2.20394
11820.00000 -0.00072 0.01029 -0.03894 2.20379
11850.00000 -0.00666 0.01368 -0.03854 2.20374
11880.00000 0.00432 0.01959 -0.04785 2.20388
11910.00000 0.00903 0.01912 -0.04374 2.20262
11940.00000 0.00396 0.03062 -0.04394 2.20253
11970.00000 0.00040 0.02625 -0.03913 2.20243
12000.00000 0.00121 0.01678 -0.03826 2.20161
12030.00000 0.00529 0.01854 -0.04520 2.20047
12060.00000 -0.00428 0.02423 -0.02802 2.20044
12090.00000 -0.00472 0.02746 -0.02454 2.20033
12120.00000 -0.00843 0.03156 -0.03267 2.20059
12150.00000 -0.00334 0.02467 -0.02774 2.20062
12180.00000 -0.00062 0.02858 -0.02965 2.20068
12210.00000 0.00712 0.02955 -0.03645 2.20097
12240.00000 0.00429 0.01967 -0.04468 2.20058
12270.00000 0.00450 0.01248 -0.04532 2.20008
12300.00000 -0.00094 0.00978 -0.02177 2.19928
12330.00000 0.00618 0.01095 -0.02202 2.19884
12360.00000 0.00183 0.01850 -0.02631 2.19881
12390.00000 0.00579 0.01488 -0.04118 2.19863
12420.00000 0.00729 0.01865 -0.03815 2.19827
12450.00000 0.01159 0.02057 -0.03488 2.19781
12480.00000 0.00536 0.01974 -0.01451 2.19698
12510.00000 0.00388 0.02356 -0.02643 2.19643
12540.00000 0.01077 0.01793 -0.03327 2.19525
